malformed	clean_target	relation_count	target_exists
p granule	p granule	2	True
t cell selection	t cell selection	2	True
b axonemal microtubule	b axonemal microtubule	2	True
z granule	z granule	2	True
g protein-coupled gaba receptor complex	g protein-coupled gaba receptor complex	2	True
p granule assembly	p granule assembly	2	True
p granule disassembly	p granule disassembly	2	True
b symptoms	b symptoms	2	True
5 alpha-reductase inhibitor	5 alpha-reductase inhibitor	2	True
k band	k band	2	True
k to kt 8 it	k to kt 8 it	1	True
c and as the area	c and as the area	1	True
c 5 mention	c 5 mention	1	True
b now the old fellow	b now the old fellow	1	True
b ii c 8 κηβος	b ii c 8 κηβος	1	True
8 says the chief	8 says the chief	1	True
p 159	p 159	1	True
1 _margaritana_	1 _margaritana_	1	True
1 sp	1 sp	1	True
style of 	style of	1	False
1 mal	1 mal	1	True
b e and p	b e and p	1	True
p 115 here a bremon	p 115 here a bremon	1	True
b iiike met	b iiike met	1	True
p 32	p 32	1	True
c peralta_	c peralta_	1	True
1 title	1 title	1	True
3 national covenant	3 national covenant	1	True
c of a large part	c of a large part	1	True
3 one	3 one	1	True
n bronze	n bronze	1	True
1 one	1 one	1	True
n corn	n corn	1	True
2 action	2 action	1	True
n place laundry	n place laundry	1	True
n place thing	n place thing	1	True
n ground	n ground	1	True
n flower	n flower	1	True
n coconut	n coconut	1	True
2 girl	2 girl	1	True
together with 	together with	1	False
n person land	n person land	1	True
w of kelso	w of kelso	1	True
n by e of kelso	n by e of kelso	1	True
w of kharga	w of kharga	1	True
6 m distant	6 m distant	1	True
1 the most probable etymology	1 the most probable etymology	1	True
1 the word lottery	1 the word lottery	1	True
n of lucca by rail	n of lucca by rail	1	True
9 of his poem	9 of his poem	1	True
f face an inviting	f face an inviting	1	True
à priori or non-empirical conception	à priori or non-empirical conception	1	True
except lamarck'	except lamarck	1	False
paper of huxley'	paper of huxley	1	False
l glacialis the winter fur	l glacialis the winter fur	1	True
third lobe the 'hippocampus minor'	third lobe the 'hippocampus minor	1	False
o king shahryar	o king shahryar	1	True
v the unfinished part	v the unfinished part	1	True
v prince husayn's fn334	v prince husayn's fn334	1	True
1 atonement	1 atonement	1	True
6 truth and error	6 truth and error	1	True
9 ment since justice	9 ment since justice	1	True
1 through beelzebub	1 through beelzebub	1	True
9 child because the mother-love	9 child because the mother-love	1	True
9 jealousy	9 jealousy	1	True
3 person place nor thing	3 person place nor thing	1	True
9 so-called spirit	9 so-called spirit	1	True
1 heals the sick	1 heals the sick	1	True
1 tisements of quackery	1 tisements of quackery	1	True
9 and all thing	9 and all thing	1	True
6 error	6 error	1	True
3 benefit	3 benefit	1	True
6 doth corrupt mortality	6 doth corrupt mortality	1	True
9 never err	9 never err	1	True
1 mortal	1 mortal	1	True
1 terial earth	1 terial earth	1	True
3 substance and intelligence	3 substance and intelligence	1	True
1 sin and death	1 sin and death	1	True
9 the love of god	9 the love of god	1	True
3 spirit	3 spirit	1	True
1 the christianly scientific real	1 the christianly scientific real	1	True
1 ness with certain circumstanc	1 ness with certain circumstanc	1	True
6 fear	6 fear	1	True
1 the bible	1 the bible	1	True
3 sin	3 sin	1	True
9 nation	9 nation	1	True
9 and its medicine	9 and its medicine	1	True
1 eternity	1 eternity	1	True
1 idea	1 idea	1	True
1 gence in matter	1 gence in matter	1	True
3 will-power	3 will-power	1	True
1 tion	1 tion	1	True
6 pent of god's creating	6 pent of god's creating	1	True
1 division this discovery	1 division this discovery	1	True
- psalm xxiii divine love	psalm xxiii divine love	1	False
h having nothing to unite	h having nothing to unite	1	True
4 salt	4 salt	1	True
o unites in any case	o unites in any case	1	True
main compounds of 	main compounds of	1	False
uses -the greatest use of 	uses -the greatest use of	1	False
1 tragedy	1 tragedy	1	True
v hirta all five stamen	v hirta all five stamen	1	True
6 is sagacity	6 is sagacity	1	True
consequences of these inter-dependent deterioration'	consequences of these inter-dependent deterioration	1	False
cohesive 'family'	cohesive 'family	1	False
v friends my name	v friends my name	1	True
b the norfolk aire	b the norfolk aire	1	True
b adar	b adar	1	True
b at teffont ewya	b at teffont ewya	1	True
b whitty-tree or wayfaring-tree	b whitty-tree or wayfaring-tree	1	True
b on salisbury plain	b on salisbury plain	1	True
b princesthere	b princesthere	1	True
phrase 'must be'	phrase 'must be	1	False
ambiguity 'collaborating'	ambiguity 'collaborating	1	False
logical arrangements 'clearer'	logical arrangements 'clearer	1	False
word 'practical'	word 'practical	1	False
- aa omega	aa omega	1	False
relation 'north of'	relation 'north of	1	False
faintest whisperings of counsel 'if'	faintest whisperings of counsel 'if	1	False
c the cliff	c the cliff	1	True
c in section	c in section	1	True
violence 'labor'	violence 'labor	1	False
word 'martlet'	word 'martlet	1	False
italian name 'topino'	italian name 'topino	1	False
s s	s s	1	True
c until constant	c until constant	1	True
segmentation cavity 	segmentation cavity	1	False
c and miss d	c and miss d	1	True
o how changed	o how changed	1	True
ο friends surely the lot	ο friends surely the lot	1	True
c maritima	c maritima	1	True
d 1640	d 1640	1	True
sodium acetate no reaction occurs'	sodium acetate no reaction occurs	1	False
p 77 similar reference	p 77 similar reference	1	True
1 red	1 red	1	True
3 blue	3 blue	1	True
p superior	p superior	1	True
b b b b	b b b b	1	True
3 the solution	3 the solution	1	True
2 fixed on his door-post	2 fixed on his door-post	1	True
f and over	f and over	1	True
f the appetite	f the appetite	1	True
m de voltaire your life	m de voltaire your life	1	True
b d	b d	1	True
p the disease	p the disease	1	True
people 'hero'	people 'hero	1	False
x no man	x no man	1	True
communicate divine truth'	communicate divine truth	1	False
e f	e f	1	True
pudic artery s 	pudic artery s	1	False
my father was a smith'	my father was a smith	1	False
exercise of the 'historic imagination'	exercise of the 'historic imagination	1	False
besides 'gladness'	besides 'gladness	1	False
5 bougie	5 bougie	1	True
c matter	c matter	1	True
form plato'	form plato	1	False
short kant'	short kant	1	False
4 the new reality	4 the new reality	1	True
my sword and gunnar'	my sword and gunnar	1	False
object of 'my present sense-datum'	object of 'my present sense-datum	1	False
object of '_x_'	object of '_x_	1	False
b and relating relation	b and relating relation	1	True
1 raw material and soil	1 raw material and soil	1	True
2 human being	2 human being	1	True
2 scientific biology the art	2 scientific biology the art	1	True
9 spic	9 spic	1	True
suggest 'vice'	suggest 'vice	1	False
labourers 'accumulated labour'	labourers 'accumulated labour	1	False
still labourers 'accumulated labour'	still labourers 'accumulated labour	1	False
ideas 'ideas'	ideas 'ideas	1	False
far ideas 'ideas'	far ideas 'ideas	1	False
observe the phrase 'natural religion'	observe the phrase 'natural religion	1	False
superabundantly obvious the word 'natural'	superabundantly obvious the word 'natural	1	False
2 the pleasantness	2 the pleasantness	1	True
_ lombardian leprosy describe pellagra pellagra	lombardian leprosy describe pellagra pellagra	1	False
p the air-pip	p the air-pip	1	True
1 characters following	1 characters following	1	True
r spectral analysis show	r spectral analysis show	1	True
w muzquiz probably	w muzquiz probably	1	True
e nava	e nava	1	True
2 feet deep	2 feet deep	1	True
t 3 	t 3	1	False
o _cherubin_ how great	o _cherubin_ how great	1	True
f the sub-class ascomycet	f the sub-class ascomycet	1	True
c a b	c a b	1	True
b may have other	b may have other	1	True
d of the following	d of the following	1	True
2 material	2 material	1	True
3 volum	3 volum	1	True
alcohol the 'genius of degeneration'	alcohol the 'genius of degeneration	1	False
wide 'the less the better'	wide 'the less the better	1	False
b the receiver	b the receiver	1	True
_ coelogyne cristata_	coelogyne cristata_	1	False
o nōfūhl	o nōfūhl	1	True
o nōfūhl statement	o nōfūhl statement	1	True
c of the enclosed	c of the enclosed	1	True
willy asked beetle 'families'	willy asked beetle 'families	1	False
1 577-xxxx 011	1 577-xxxx 011	1	True
sense 'individualism'	sense 'individualism	1	False
prove an 'abstract idea'	prove an 'abstract idea	1	False
rid of 'fictitious entity'	rid of 'fictitious entity	1	False
denying 'benevolence'	denying 'benevolence	1	False
p 36 l 630 theb	p 36 l 630 theb	1	True
c until the content	c until the content	1	True
c the experiment	c the experiment	1	True
f for an hour	f for an hour	1	True
f and above	f and above	1	True
f and below mold growth	f and below mold growth	1	True
p 4 the paunch	p 4 the paunch	1	True
c and c'	c and c	1	False
h _he_	h _he_	1	True
1 _meningocele_	1 _meningocele_	1	True
c r	c r	1	True
2 _magneto ignition_	2 _magneto ignition_	1	True
d the line	d the line	1	True
p 18	p 18	1	True
terms m and m'	terms m and m	1	False
4 nullity	4 nullity	1	True
2 guinea-pig	2 guinea-pig	1	True
c going on while tomkin	c going on while tomkin	1	True
3 all the romanc	3 all the romanc	1	True
2 no modern poetry	2 no modern poetry	1	True
3 all _your_ poem	3 all _your_ poem	1	True
4 no affected poetry	4 no affected poetry	1	True
5 no ancient poem	5 no ancient poem	1	True
4 no teetotaler	4 no teetotaler	1	True
4 c	4 c	1	True
g and in appearance	g and in appearance	1	True
f for the female bird	f for the female bird	1	True
7 the carnal mind	7 the carnal mind	1	True
4 the bishops of rome	4 the bishops of rome	1	True
1 self-existence	1 self-existence	1	True
b except the arm	b except the arm	1	True
r laciniata var _laciniata_	r laciniata var _laciniata_	1	True
1 individual	1 individual	1	True
c the executive head	c the executive head	1	True
b sub-sector	b sub-sector	1	True
word 'old'	word 'old	1	False
s 174a	s 174a	1	True
2 how the profit	2 how the profit	1	True
woe woe'	woe woe	1	False
w belongs to birmingham	w belongs to birmingham	1	True
election 'everybody for ever'	election 'everybody for ever	1	False
p 46stands between the two	p 46stands between the two	1	True
second whipped''	second whipped	1	False
term 'cube'	term 'cube	1	False
club in french trefle 'trefoil'	club in french trefle 'trefoil	1	False
- forth england	forth england	1	False
1 thorgils was the son	1 thorgils was the son	1	True
1 visundr	1 visundr	1	True
1 hild's game	1 hild's game	1	True
his history of the huguenots'	his history of the huguenots	1	False
4 confesses the augurate	4 confesses the augurate	1	True
p 381-386 the exordium	p 381-386 the exordium	1	True
c pretend these strong word	c pretend these strong word	1	True
p 501-503	p 501-503	1	True
m type ship	m type ship	1	True
b gathers an aeroplane	b gathers an aeroplane	1	True
go softly till y'	go softly till y	1	False
cold water discomfortable drink y'	cold water discomfortable drink y	1	False
o our crookback	o our crookback	1	True
1 practice	1 practice	1	True
n east direction	n east direction	1	True
oswellii'	oswellii	1	False
o villaine thy lipp	o villaine thy lipp	1	True
icelandic sagas such as gretter'	icelandic sagas such as gretter	1	False
1 psaru	1 psaru	1	True
music of the future'	music of the future	1	False
conclusion the 'diamagnetic'	conclusion the 'diamagnetic	1	False
p 28	p 28	1	True
o women o men great	o women o men great	1	True
m de sombreuil ha	m de sombreuil ha	1	True
o my brother	o my brother	1	True
- teaching in a settlement	teaching in a settlement	1	False
b how much	b how much	1	True
liveliest description of will'	liveliest description of will	1	False
staton'	staton	1	False
o charles the dauphin	o charles the dauphin	1	True
o peers of england shameful	o peers of england shameful	1	True
o father maine	o father maine	1	True
o full of danger	o full of danger	1	True
o my heart	o my heart	1	True
o full of careful business	o full of careful business	1	True
o how great	o how great	1	True
o how comely	o how comely	1	True
o death how bitter	o death how bitter	1	True
o lord thy ey	o lord thy ey	1	True
o israel how great	o israel how great	1	True
b 16 44	b 16 44	1	True
r lxxvii this boc	r lxxvii this boc	1	True
flossy the 'fat curly-haired dog'	flossy the 'fat curly-haired dog	1	False
b this license	b this license	1	True
o belike castle royally	o belike castle royally	1	True
o villain thy lip	o villain thy lip	1	True
sooth this feast of kriemhild'	sooth this feast of kriemhild	1	False
m de cocheforets hiding-place	m de cocheforets hiding-place	1	True
1 so admirable	1 so admirable	1	True
m de bruhl	m de bruhl	1	True
m de rambouillet	m de rambouillet	1	True
term 'survival of the fittest'	term 'survival of the fittest	1	False
human eyes even a child'	human eyes even a child	1	False
douze jours'	douze jours	1	False
l or el	l or el	1	True
defence possible'	defence possible	1	False
diligence therefore'	diligence therefore	1	False
1 misery	1 misery	1	True
4 the path	4 the path	1	True
h p 14 11	h p 14 11	1	True
o brethren	o brethren	1	True
o my judah here	o my judah here	1	True
4 a gratuitous bailee	4 a gratuitous bailee	1	True
m de francueil	m de francueil	1	True
colonel long'	colonel long	1	False
v for the past	v for the past	1	True
states'	states	1	True
ch'ing 10'	ch'ing 10	1	False
earth form a ternion 2'	earth form a ternion 2	1	False
1 traveling alone	1 traveling alone	1	True
o some men	o some men	1	True
o more terrible	o more terrible	1	True
o hemlock tree how faithful	o hemlock tree how faithful	1	True
books 二十四史 'the twenty-four histories'	books 二十四史 'the twenty-four histories	1	False
paul bourget the italics ''	paul bourget the italics	1	False
m prefixed	m prefixed	1	True
u in the same way	u in the same way	1	True
e long	e long	1	True
c the coffee	c the coffee	1	True
sang-ki-tan' and the i-kit'	sang-ki-tan' and the i-kit	1	False
long-handled wooden dipper called ka-od'	long-handled wooden dipper called ka-od	1	False
ko-chuk-kod'	ko-chuk-kod	1	False
rain hat called seg-fi'	rain hat called seg-fi	1	False
outer end of the to-bong'	outer end of the to-bong	1	False
two blades si-na-la-wi'-tan and kay-yan'	two blades si-na-la-wi'-tan and kay-yan	1	False
odor of sa-fu-eng'	odor of sa-fu-eng	1	False
a-li-ka' ab a-fi'-ik ba-long'-long en-ta-ko'	a-li-ka' ab a-fi'-ik ba-long'-long en-ta-ko	1	False
ong-i-yud'	ong-i-yud	1	False
cha-kon'	cha-kon	1	False
harvest and ka-sip'	harvest and ka-sip	1	False
lang-i-a' and ab-lo'	lang-i-a' and ab-lo	1	False
sung-ub'	sung-ub	1	False
2 feet	2 feet	1	True
b again and again borrow	b again and again borrow	1	True
rapid movements'	rapid movements	1	False
n lat	n lat	1	True
- 'the shetland cottage or hut	'the shetland cottage or hut	1	False
account of mary ann sinclair'	account of mary ann sinclair	1	False
1 concerto	1 concerto	1	True
m du maine	m du maine	1	True
m darmenouville	m darmenouville	1	True
m daumont every year	m daumont every year	1	True
m dantraigu	m dantraigu	1	True
o how delightful	o how delightful	1	True
word 'manica'	word 'manica	1	False
shallow water the 'beche-de-mer'	shallow water the 'beche-de-mer	1	False
w atch glass	w atch glass	1	True
h junior	h junior	1	True
cook steward title is doctor''	cook steward title is doctor	1	False
chafing gear rope-yarns''	chafing gear rope-yarns	1	False
o by god blaz	o by god blaz	1	True
j a postcard	j a postcard	1	True
b say	b say	1	True
o dear serpent	o dear serpent	1	True
terms 'empire' and 'imperialism'	terms 'empire' and 'imperialism	1	False
b and his children	b and his children	1	True
v sanctuary the dim road	v sanctuary the dim road	1	True
flesh of the 'megapodius'	flesh of the 'megapodius	1	False
m d'armancourt insist	m d'armancourt insist	1	True
poetry gaultier de coincy'	poetry gaultier de coincy	1	False
c in 1913	c in 1913	1	True
o allah	o allah	1	True
- even right -	even right -	1	False
three mighty ws'	three mighty ws	1	False
f minor study the stretch	f minor study the stretch	1	True
musical score excerpt kullak'	musical score excerpt kullak	1	False
e flat minor trio	e flat minor trio	1	True
f sharp nocturne	f sharp nocturne	1	True
c sharp minor part	c sharp minor part	1	True
c minor mazurka op 30	c minor mazurka op 30	1	True
c sharp minor theme	c sharp minor theme	1	True
1 pm	1 pm	1	True
f minor section	f minor section	1	True
c of sydney	c of sydney	1	True
whereas wyatt'	whereas wyatt	1	False
o friends our chief state-oracle	o friends our chief state-oracle	1	True
2 gift	2 gift	1	True
o strange young russia merezhkovski	o strange young russia merezhkovski	1	True
1 thi	1 thi	1	True
o but herein	o but herein	1	True
o why place	o why place	1	True
o how beggarly and miserable	o how beggarly and miserable	1	True
9 worthy	9 worthy	1	True
o how dear bought	o how dear bought	1	True
5 'whoso	5 'whoso	1	True
8 thing	8 thing	1	True
word translated 'divine'	word translated 'divine	1	False
o the cries of blood	o the cries of blood	1	True
o this staying work	o this staying work	1	True
1 2 such profession	1 2 such profession	1	True
8 his ploughing	8 his ploughing	1	True
word 'greeks'	word 'greeks	1	False
b 65 here	b 65 here	1	True
o pilgrims danger	o pilgrims danger	1	True
o how sweet	o how sweet	1	True
o how condescending	o how condescending	1	True
word 'the nations'	word 'the nations	1	False
temporal kingdom-ed 5 'spices'	temporal kingdom-ed 5 'spices	1	False
judge uprightly'	judge uprightly	1	False
o by a river side	o by a river side	1	True
words 'beside all this'	words 'beside all this	1	False
o alas promis	o alas promis	1	True
o damned men	o damned men	1	True
o conscience	o conscience	1	True
good old samuel'	good old samuel	1	False
c 683	c 683	1	True
4 of the same opinion	4 of the same opinion	1	True
m de premorel the aide-de-camp	m de premorel the aide-de-camp	1	True
comments of 'sam slick'	comments of 'sam slick	1	False
o dear mother how powerful	o dear mother how powerful	1	True
y z loosely	y z loosely	1	True
m the following incident	m the following incident	1	True
_here_ 'charming weather'	_here_ 'charming weather	1	False
2 12 faith	2 12 faith	1	True
o my father	o my father	1	True
o jerusalem c tittawisa	o jerusalem c tittawisa	1	True
m coming to pari	m coming to pari	1	True
o fair	o fair	1	True
his essay 'concerning the jews'	his essay 'concerning the jews	1	False
sahn sahl-va-dor'	sahn sahl-va-dor	1	False
h aunt of henry bright	h aunt of henry bright	1	True
2 yet their origin	2 yet their origin	1	True
januarie 1591'	januarie 1591	1	False
evidently januarie 1591'	evidently januarie 1591	1	False
l _post_ in considering sherman'	l _post_ in considering sherman	1	False
1 pico in manila	1 pico in manila	1	True
d kaki	d kaki	1	True
d virginiana	d virginiana	1	True
o civilization	o civilization	1	True
much-worn 'where is it'	much-worn 'where is it	1	False
kitty kear'	kitty kear	1	False
spirit of 'yankeeism'	spirit of 'yankeeism	1	False
2 alliteration	2 alliteration	1	True
vanessa' in 'cadenus'	vanessa' in 'cadenus	1	False
last sentences of 'vanity fair'	last sentences of 'vanity fair	1	False
poyser in 'adam bede'	poyser in 'adam bede	1	False
ridolfo'	ridolfo	1	False
o equality	o equality	1	True
two on sundays 'shower'	two on sundays 'shower	1	False
d c pain	d c pain	1	True
s for god	s for god	1	True
g and god	g and god	1	True
k but their sinfulness	k but their sinfulness	1	True
o for god	o for god	1	True
l and with god	l and with god	1	True
o and god	o and god	1	True
o my fellow-prisoner	o my fellow-prisoner	1	True
h since every soul	h since every soul	1	True
o g al hejr	o g al hejr	1	True
y for man	y for man	1	True
f for god	f for god	1	True
z verily herein	z verily herein	1	True
b for god	b for god	1	True
f and god's earth	f and god's earth	1	True
o man	o man	1	True
c for god	c for god	1	True
b verily are promisedc	b verily are promisedc	1	True
f verily man	f verily man	1	True
6 malkounsa raga	6 malkounsa raga	1	True
m de molin	m de molin	1	True
8 weie	8 weie	1	True
3 part	3 part	1	True
7 tumens our merchant	7 tumens our merchant	1	True
merchant taylors'	merchant taylors	1	False
agriculture of cato'	agriculture of cato	1	False
2 pincer	2 pincer	1	True
v made	v made	1	True
term 'merchant princes'	term 'merchant princes	1	False
o lord the hour	o lord the hour	1	True
cortius'	cortius	1	False
o my god how clear	o my god how clear	1	True
b 1816 debit and credit	b 1816 debit and credit	1	True
triumph of mercantini'	triumph of mercantini	1	False
- thought immigrant	thought immigrant	1	False
8 behold now	8 behold now	1	True
o wisdom	o wisdom	1	True
4 pm near the port	4 pm near the port	1	True
s above this island	s above this island	1	True
s opposit the river	s opposit the river	1	True
2 men	2 men	1	True
s below	s below	1	True
e of the most considerable	e of the most considerable	1	True
o how tremendiou	o how tremendiou	1	True
w sac a commi	w sac a commi	1	True
w wind	w wind	1	True
w this last	w this last	1	True
superiority of the 'paradise lost'	superiority of the 'paradise lost	1	False
dedication to the 'iliad'	dedication to the 'iliad	1	False
b and f's general	b and f's general	1	True
o wretched men your sin	o wretched men your sin	1	True
o cruel	o cruel	1	True
cunard route to 'gib'	cunard route to 'gib	1	False
broken-down circus near reid'	broken-down circus near reid	1	False
confital bay 'comfits'	confital bay 'comfits	1	False
henderson _history of wines_ 'malvasia'	henderson _history of wines_ 'malvasia	1	False
near this 'written rock'	near this 'written rock	1	False
e of the village	e of the village	1	True
near our left to the 	near our left to the	1	False
s side of the area	s side of the area	1	True
s fruit hour	s fruit hour	1	True
e from hence one hour	e from hence one hour	1	True
n side of the hill	n side of the hill	1	True
s wall	s wall	1	True
s end of the village	s end of the village	1	True
s of the plain	s of the plain	1	True
s of modjeb	s of modjeb	1	True
purgatory of dante'	purgatory of dante	1	False
distinctities in the 'pleroma'	distinctities in the 'pleroma	1	False
paul 'the father'	paul 'the father	1	False
short 'the liberty of prophesying'	short 'the liberty of prophesying	1	False
sorts 'genera et species'	sorts 'genera et species	1	False
affirm m 	affirm m	1	False
sceptical prepossessions 'mind'	sceptical prepossessions 'mind	1	False
first book of augustin'	first book of augustin	1	False
t and sallust	t and sallust	1	True
t says gün	t says gün	1	True
very peculiar alliteration of bracciolini'	very peculiar alliteration of bracciolini	1	False
j levett madam	j levett madam	1	True
d xii 5	d xii 5	1	True
djebádele tribe boundary on the 	djebádele tribe boundary on the	1	False
jule'	jule	1	False
name 'de balzac'	name 'de balzac	1	False
5 myle fro sarphen	5 myle fro sarphen	1	True
2 myle from ebron	2 myle from ebron	1	True
2 myle fro then	2 myle fro then	1	True
2 myle fro jerico	2 myle fro jerico	1	True
5 myle fro chorosaym	5 myle fro chorosaym	1	True
5 myle fro naym	5 myle fro naym	1	True
3 myle fro nazarethe	3 myle fro nazarethe	1	True
3 part toward the septentrion	3 part toward the septentrion	1	True
2 cyte	2 cyte	1	True
3 plac	3 plac	1	True
4 thousand	4 thousand	1	True
h 8	h 8	1	True
3 light carts comprised	3 light carts comprised	1	True
1 _the first	1 _the first	1	True
filthy still'	filthy still	1	False
c russia	c russia	1	True
o sufficient for the day	o sufficient for the day	1	True
o name	o name	1	True
again the word 'harmless'	again the word 'harmless	1	False
walburge'	walburge	1	False
o woman great	o woman great	1	True
- today the body	today the body	1	False
extraordinary work of sir walter'	extraordinary work of sir walter	1	False
c note 2thi	c note 2thi	1	True
c _sachiu_	c _sachiu_	1	True
c note 4_erba_	c note 4_erba_	1	True
c kauli	c kauli	1	True
t and ram	t and ram	1	True
grace 'pelleas and ettarre'	grace 'pelleas and ettarre	1	False
2 cruzado	2 cruzado	1	True
bourmont'	bourmont	1	False
ship actions'	ship actions	1	False
nathaniel wraxall 'memoirs'	nathaniel wraxall 'memoirs	1	False
likewise to 'think'	likewise to 'think	1	False
joke of the 'glass windows'	joke of the 'glass windows	1	False
o swan thy critical cygnet	o swan thy critical cygnet	1	True
third collect intituled 'for grace'	third collect intituled 'for grace	1	False
diplomacy in the 'mailed fist'	diplomacy in the 'mailed fist	1	False
big game the 'express'	big game the 'express	1	False
camp of leichhardt'	camp of leichhardt	1	False
r re	r re	1	True
incorporation of the 'tour'	incorporation of the 'tour	1	False
southey 'van artevelde'	southey 'van artevelde	1	False
nevertheless 'mochuda'	nevertheless 'mochuda	1	False
o away my thought	o away my thought	1	True
c xvii the following reply	c xvii the following reply	1	True
phrase 'qui cum eo sunt'	phrase 'qui cum eo sunt	1	False
1 this last statement	1 this last statement	1	True
sense 'from above'	sense 'from above	1	False
2 3 irenaeu	2 3 irenaeu	1	True
author of 'supernatural religion'	author of 'supernatural religion	1	False
p 72 reference	p 72 reference	1	True
p 49 shepherd at least	p 49 shepherd at least	1	True
mah husband'	mah husband	1	False
c d	c d	1	True
1 a solar monotheism	1 a solar monotheism	1	True
x p 239	x p 239	1	True
f fake corporal mutiny	f fake corporal mutiny	1	True
8 in the midst	8 in the midst	1	True
von grumpert'	von grumpert	1	False
m de guise	m de guise	1	True
6 7 for a child	6 7 for a child	1	True
2 his address	2 his address	1	True
3 4 these men	3 4 these men	1	True
k company	k company	1	True
י yod	י yod	1	True
war sho'	war sho	1	False
conard'	conard	1	False
w of the quantock	w of the quantock	1	True
w front of well	w front of well	1	True
n wall	n wall	1	True
w end of the aisle	w end of the aisle	1	True
n doorway	n doorway	1	True
w and the transept	w and the transept	1	True
w of the church	w of the church	1	True
e of sparkford	e of sparkford	1	True
12 m to the 	12 m to the	1	False
s of trac	s of trac	1	True
s arcade	s arcade	1	True
s transept dec	s transept dec	1	True
s from radstock	s from radstock	1	True
s extremity of the quantock	s extremity of the quantock	1	True
e window of the chancel	e window of the chancel	1	True
w doorway	w doorway	1	True
w side of the tower	w side of the tower	1	True
w end of graveyard	w end of graveyard	1	True
s chapel	s chapel	1	True
s aisle	s aisle	1	True
s by w of martock	s by w of martock	1	True
e of the station	e of the station	1	True
w horizon	w horizon	1	True
w of yeovil	w of yeovil	1	True
e and w front	e and w front	1	True
s of the parish church	s of the parish church	1	True
e wall	e wall	1	True
w face	w face	1	True
st cuthbert'	st cuthbert	1	False
s of the building	s of the building	1	True
n of weston	n of weston	1	True
s side of the sanctuary	s side of the sanctuary	1	True
misleading civilization in the 1970'	misleading civilization in the 1970	1	False
1 _competitive survival struggle	1 _competitive survival struggle	1	True
boys learn 'the great spirit'	boys learn 'the great spirit	1	False
render _vui_ 'spirits'	render _vui_ 'spirits	1	False
facts 'winna ding'	facts 'winna ding	1	False
c note 2it	c note 2it	1	True
4 and black jacket	4 and black jacket	1	True
c note 3thi	c note 3thi	1	True
c often	c often	1	True
b comes from angkor	b comes from angkor	1	True
p to all food	p to all food	1	True
c zic	c zic	1	True
swainson'	swainson	1	False
1 good	1 good	1	True
2 person	2 person	1	True
6 cut	6 cut	1	True
consequence is while the bishop'	consequence is while the bishop	1	False
word 'cuyler'	word 'cuyler	1	False
poor old skipper'	poor old skipper	1	False
2 says the report	2 says the report	1	True
r xix 186 'c'	r xix 186 'c	1	False
mather admits 'spectral evidence'	mather admits 'spectral evidence	1	False
7 persons employment	7 persons employment	1	True
p 150	p 150	1	True
tale of mirabeau'	tale of mirabeau	1	False
p 235 british basilica	p 235 british basilica	1	True
1 the castle of shiz	1 the castle of shiz	1	True
o for o the hobby-horse	o for o the hobby-horse	1	True
w end	w end	1	True
b unknown	b unknown	1	True
3 sarplers of the rector'	3 sarplers of the rector	1	False
3 4 by no	3 4 by no	1	True
2 observes the gallic women	2 observes the gallic women	1	True
de'	de	1	True
mah oles'	mah oles	1	False
mk xi 15-18 	mk xi 15-18	1	False
choir of king'	choir of king	1	False
o love divine how cold	o love divine how cold	1	True
b category	b category	1	True
next door to 'the hollies'	next door to 'the hollies	1	False
howison'	howison	1	False
3 one of the party	3 one of the party	1	True
p 30 sexual desire	p 30 sexual desire	1	True
p 45 obsession	p 45 obsession	1	True
present 'virtue'	present 'virtue	1	False
m de carmaing	m de carmaing	1	True
i'm speakin'	i'm speakin	1	False
à wood _athenæ oxonienses_	à wood _athenæ oxonienses_	1	True
o god how wonderful	o god how wonderful	1	True
o how more sweet	o how more sweet	1	True
o nature how variou	o nature how variou	1	True
extravagant as a lover'	extravagant as a lover	1	False
2 bolshevism	2 bolshevism	1	True
o church strength	o church strength	1	True
herndon '_terrible_'	herndon '_terrible_	1	False
x 1621-1634 his published letter	x 1621-1634 his published letter	1	True
noctes ambrosianae club of 'blackwood'	noctes ambrosianae club of 'blackwood	1	False
princess pat'	princess pat	1	False
kaltwasser concludes the word 'malach'	kaltwasser concludes the word 'malach	1	False
c 52 the reading	c 52 the reading	1	True
various substitutes suggested 'pseudo-arretine'	various substitutes suggested 'pseudo-arretine	1	False
here surely was corsica'	here surely was corsica	1	False
2 unity of command	2 unity of command	1	True
3 the worship of idol	3 the worship of idol	1	True
order for purpose these dissauva'	order for purpose these dissauva	1	False
john o' groat'	john o' groat	1	False
o without my lover life	o without my lover life	1	True
b 3	b 3	1	True
about latitude 35 45'	about latitude 35 45	1	False
knows salvation cares for naught'	knows salvation cares for naught	1	False
themselves immortality'	themselves immortality	1	False
know the 'that'	know the 'that	1	False
winds blow'	winds blow	1	False
devotees of the 'highest bird'	devotees of the 'highest bird	1	False
garments 'mothers'	garments 'mothers	1	False
coulsons'	coulsons	1	False
_ not my sister's happiness	not my sister's happiness	1	False
e and w sid	e and w sid	1	True
s end	s end	1	True
listening quietly browning'	listening quietly browning	1	False
4 says _lougos_	4 says _lougos_	1	True
4 times 4	4 times 4	1	True
p 201	p 201	1	True
last invention of your master'	last invention of your master	1	False
b and t	b and t	1	True
